sku,match_name,youtube_id,timestamp_seconds,division_id
RE-V5RC-25-0147,P5,NaLgd1bmHy4,0,1
RE-V5RC-25-0147,P24,T3iBuIt4M-0,6027,1
RE-V5RC-25-0147,Q10,NaLgd1bmHy4,1546,1
RE-V5RC-25-0147,Q16,NaLgd1bmHy4,2582,1
RE-V5RC-25-0147,Q38,T3iBuIt4M-0,8048,1
RE-V5RC-25-0147,Q51,T3iBuIt4M-0,10925,1
RE-V5RC-25-0147,Q65,T3iBuIt4M-0,14286,1
RE-V5RC-25-0147,Q81,T3iBuIt4M-0,17928,1
RE-V5RC-25-0147,Q93,T3iBuIt4M-0,24887,1
RE-V5RC-25-0147,Q100,T3iBuIt4M-0,26373,1
RE-V5RC-25-0147,Q112,T3iBuIt4M-0,29312,1
RE-V5RC-25-0147,Q128,T3iBuIt4M-0,33411,1
RE-V5RC-25-0254,Q25,PM0oZwGOi7E,1402,1
RE-V5RC-25-0254,Q36,PM0oZwGOi7E,3371,1
RE-V5RC-25-0254,Q52,PM0oZwGOi7E,68,1
RE-V5RC-25-0254,R162-1,PM0oZwGOi7E,22482,1
RE-V5RC-25-0011,P2,dqiXLjV04TY,776,1
RE-V5RC-25-0011,P3,dqiXLjV04TY,949,1
RE-V5RC-25-0011,P4,dqiXLjV04TY,1171,1
RE-V5RC-25-0011,P5,dqiXLjV04TY,1391,1
RE-V5RC-25-0011,P6,dqiXLjV04TY,1564,1
RE-V5RC-25-0011,P7,dqiXLjV04TY,1833,1
RE-V5RC-25-0011,P8,dqiXLjV04TY,2089,1
RE-V5RC-25-0011,P10,dqiXLjV04TY,2466,1
RE-V5RC-25-0011,P12,dqiXLjV04TY,2902,1
RE-V5RC-25-0011,P13,dqiXLjV04TY,3267,1
RE-V5RC-25-0011,Q1,dqiXLjV04TY,3886,1
RE-V5RC-25-0011,Q2,dqiXLjV04TY,4074,1
RE-V5RC-25-0011,Q3,dqiXLjV04TY,4255,1
RE-V5RC-25-0011,Q4,dqiXLjV04TY,4440,1
RE-V5RC-25-0011,Q6,dqiXLjV04TY,4911,1
RE-V5RC-25-0011,Q8,dqiXLjV04TY,5292,1
RE-V5RC-25-0011,Q9,dqiXLjV04TY,5513,1
RE-V5RC-25-0011,Q10,dqiXLjV04TY,5723,1
RE-V5RC-25-0011,Q11,dqiXLjV04TY,5981,1
RE-V5RC-25-0011,Q13,dqiXLjV04TY,6454,1
RE-V5RC-25-0011,Q14,dqiXLjV04TY,21171,1
RE-V5RC-25-0011,Q15,dqiXLjV04TY,6898,1
RE-V5RC-25-0011,Q17,dqiXLjV04TY,7449,1
RE-V5RC-25-0011,Q18,dqiXLjV04TY,7620,1
RE-V5RC-25-0011,Q19,dqiXLjV04TY,7793,1
RE-V5RC-25-0011,Q20,dqiXLjV04TY,7978,1
